zip_code,location_id,facility_type,capacity_0_12,capacity_0_5
11201,26,large,400,200
11201,55,large,400,200
11201,56,large,400,200
11201,82,large,400,200
11201,86,large,400,200
11201,87,large,400,200
11201,97,large,400,200
11203,18,large,400,200
11203,22,large,400,200
11203,31,large,400,200
11203,38,large,400,200
11203,39,large,400,200
11203,40,large,400,200
11203,44,large,400,200
11203,46,large,400,200
11203,53,large,400,200
11203,57,large,400,200
11203,92,large,400,200
11203,98,large,400,200
11204,1,large,400,200
11204,4,large,400,200
11204,7,large,400,200
11204,8,large,400,200
11204,11,large,400,200
11204,15,large,400,200
11204,21,large,400,200
11204,42,large,400,200
11204,57,large,400,200
11204,67,large,400,200
11204,68,large,400,200
11204,76,large,400,200
11204,80,large,400,200
11204,85,large,400,200
11204,86,large,400,200
11204,88,large,400,200
11204,89,large,400,200
11204,90,large,400,200
11204,91,large,400,200
11204,92,large,400,200
11204,93,large,400,200
11204,94,large,400,200
11204,96,large,400,200
11205,0,large,400,200
11205,1,large,400,200
11205,2,large,400,200
11205,3,large,400,200
11205,4,large,400,200
11205,5,large,400,200
11205,52,large,400,200
11205,54,large,400,200
11205,56,large,400,200
11205,58,large,400,200
11205,60,medium,200,100
11205,75,large,400,200
11205,76,large,400,200
11205,78,large,400,200
11205,79,large,400,200
11205,80,large,400,200
11206,1,large,400,200
11206,3,large,400,200
11206,9,large,400,200
11206,18,large,400,200
11206,20,large,400,200
11206,22,large,400,200
11206,24,large,400,200
11206,29,large,400,200
11206,32,large,400,200
11206,34,large,400,200
11206,35,large,400,200
11206,36,large,400,200
11206,39,large,400,200
11206,40,large,400,200
11206,41,large,400,200
11206,50,large,400,200
11206,53,large,400,200
11206,55,large,400,200
11206,60,large,400,200
11206,61,large,400,200
11206,81,large,400,200
11206,82,large,400,200
11206,90,large,400,200
11207,0,large,400,200
11207,6,large,400,200
11207,7,large,400,200
11207,16,large,400,200
11207,17,large,400,200
11207,22,large,400,200
11207,24,large,400,200
11207,39,large,400,200
11207,49,large,400,200
11207,50,large,400,200
11207,51,large,400,200
11207,54,large,400,200
11207,55,large,400,200
11207,56,large,400,200
11207,61,large,400,200
11207,74,large,400,200
11207,81,large,400,200
11207,83,large,400,200
11207,95,large,400,200
11208,1,large,400,200
11208,3,large,400,200
11208,7,large,400,200
11208,8,large,400,200
11208,9,large,400,200
11208,27,large,400,200
11208,28,large,400,200
11208,31,large,400,200
11208,57,large,400,200
11208,58,large,400,200
11208,65,large,400,200
11208,69,large,400,200
11208,70,large,400,200
11208,73,large,400,200
11208,74,large,400,200
11208,75,large,400,200
11208,77,large,400,200
11208,79,large,400,200
11208,84,large,400,200
11208,87,large,400,200
11208,89,large,400,200
11208,90,large,400,200
11208,91,large,400,200
11208,92,large,400,200
11208,94,large,400,200
11208,95,large,400,200
11209,1,large,400,200
11209,26,medium,200,100
11209,62,large,400,200
11209,63,large,400,200
11209,68,large,400,200
11209,70,large,400,200
11209,74,large,400,200
11209,75,large,400,200
11209,76,large,400,200
11209,80,large,400,200
11209,81,large,400,200
11209,85,large,400,200
11209,86,large,400,200
11209,95,large,400,200
11210,2,large,400,200
11210,15,large,400,200
11210,17,large,400,200
11210,18,large,400,200
11210,21,large,400,200
11210,25,large,400,200
11210,26,large,400,200
11210,44,large,400,200
11210,56,large,400,200
11210,66,large,400,200
11210,77,large,400,200
11211,23,large,400,200
11211,25,large,400,200
11211,31,large,400,200
11211,37,large,400,200
11211,41,large,400,200
11211,42,large,400,200
11211,46,large,400,200
11211,47,large,400,200
11211,53,large,400,200
11211,54,large,400,200
11211,55,large,400,200
11211,61,large,400,200
11211,68,large,400,200
11211,70,large,400,200
11211,72,large,400,200
11212,1,large,400,200
11212,9,large,400,200
11212,20,large,400,200
11212,23,large,400,200
11212,24,large,400,200
11212,31,large,400,200
11212,46,large,400,200
11212,59,large,400,200
11212,63,large,400,200
11212,64,large,400,200
11212,70,large,400,200
11212,71,large,400,200
11212,72,large,400,200
11212,74,large,400,200
11212,78,large,400,200
11212,83,large,400,200
11212,89,large,400,200
11212,91,large,400,200
11213,25,large,400,200
11213,26,large,400,200
11213,30,large,400,200
11213,36,large,400,200
11213,40,large,400,200
11213,44,large,400,200
11213,47,large,400,200
11213,54,large,400,200
11213,68,large,400,200
11213,76,large,400,200
11213,84,large,400,200
11213,85,large,400,200
11213,92,large,400,200
11213,97,large,400,200
11213,99,large,400,200
11214,1,large,400,200
11214,14,large,400,200
11214,26,large,400,200
11214,29,large,400,200
11214,31,large,400,200
11214,32,large,400,200
11214,33,large,400,200
11214,34,large,400,200
11214,42,large,400,200
11214,44,large,400,200
11214,49,medium,200,100
11214,50,large,400,200
11214,72,large,400,200
11214,75,large,400,200
11214,88,large,400,200
11214,95,large,400,200
11214,97,large,400,200
11215,1,large,400,200
11215,20,large,400,200
11215,25,large,400,200
11215,26,large,400,200
11215,30,large,400,200
11215,36,large,400,200
11215,52,large,400,200
11215,53,large,400,200
11215,63,large,400,200
11215,71,large,400,200
11215,73,large,400,200
11215,76,large,400,200
11215,86,large,400,200
11215,87,large,400,200
11215,93,large,400,200
11215,94,large,400,200
11215,97,large,400,200
11215,98,large,400,200
11216,3,large,400,200
11216,5,large,400,200
11216,29,large,400,200
11216,30,large,400,200
11216,32,large,400,200
11216,35,large,400,200
11216,41,large,400,200
11216,90,large,400,200
11216,95,large,400,200
11216,96,large,400,200
11217,4,large,400,200
11217,13,large,400,200
11217,16,large,400,200
11217,26,large,400,200
11217,27,large,400,200
11217,30,large,400,200
11217,32,large,400,200
11217,33,large,400,200
11217,35,large,400,200
11217,37,large,400,200
11217,72,large,400,200
11217,82,large,400,200
11218,0,large,400,200
11218,1,large,400,200
11218,10,large,400,200
11218,12,large,400,200
11218,14,large,400,200
11218,15,large,400,200
11218,16,large,400,200
11218,20,large,400,200
11218,21,large,400,200
11218,23,large,400,200
11218,25,large,400,200
11218,37,large,400,200
11218,49,large,400,200
11218,73,large,400,200
11218,98,large,400,200
11219,0,large,400,200
11219,5,large,400,200
11219,12,large,400,200
11219,15,large,400,200
11219,16,large,400,200
11219,22,large,400,200
11219,23,large,400,200
11219,25,large,400,200
11219,30,large,400,200
11219,34,large,400,200
11219,35,large,400,200
11219,41,large,400,200
11219,43,large,400,200
11219,44,large,400,200
11219,46,large,400,200
11219,47,large,400,200
11219,49,large,400,200
11219,50,large,400,200
11219,54,large,400,200
11219,60,large,400,200
11219,61,large,400,200
11219,64,large,400,200
11219,65,large,400,200
11219,70,large,400,200
11219,72,large,400,200
11219,77,large,400,200
11219,80,large,400,200
11219,81,large,400,200
11219,83,large,400,200
11219,84,large,400,200
11219,85,large,400,200
11219,86,large,400,200
11219,87,large,400,200
11219,88,large,400,200
11219,90,large,400,200
11219,91,large,400,200
11219,93,large,400,200
11219,94,large,400,200
11219,96,large,400,200
11219,97,large,400,200
11220,1,large,400,200
11220,4,large,400,200
11220,6,large,400,200
11220,18,large,400,200
11220,22,large,400,200
11220,24,large,400,200
